Código,Ação,Tipo,Qtde. Teórica,Part. (%),Date
RECV3,PETRORECSA,ON NM,275.170.410,"0,217",17/03/25
PRIO3,PETRORIO,ON NM,779.999.989,"1,482",17/03/25
PETZ3,PETZ,ON NM,293.689.428,"0,066",17/03/25
PSSA3,PORTO SEGURO,ON NM,182.560.698,"0,343",17/03/25
RADL3,RAIADROGASIL,ON NM,1.286.616.979,"1,191",17/03/25
RAIZ4,RAIZEN,PN N2,1.198.936.529,"0,103",17/03/25
RDOR3,REDE D OR,ON NM,1.145.289.019,"1,567",17/03/25
RAIL3,RUMO S.A.,ON NM,1.216.914.397,"1,058",17/03/25
SBSP3,SABESP,ON NM,683.508.568,"3,277",17/03/25
SANB11,SANTANDER BR,UNT,356.586.730,"0,452",17/03/25
STBP3,SANTOS BRP,ON ED NM,855.712.622,"0,551",17/03/25
SMTO3,SAO MARTINHO,ON NM,128.130.966,"0,137",17/03/25
CSNA3,SID NACIONAL,ON,727.459.637,"0,359",17/03/25
SLCE3,SLC AGRICOLA,ON NM,194.261.422,"0,175",17/03/25
SUZB3,SUZANO S.A.,ON NM,630.821.784,"1,649",17/03/25
TAEE11,TAESA,UNT N2,218.568.234,"0,360",17/03/25
VIVT3,TELEF BRASIL,ON,382.442.128,"0,945",17/03/25
TIMS3,TIM,ON NM,807.495.418,"0,675",17/03/25
TOTS3,TOTVS,ON NM,540.206.440,"0,873",17/03/25
UGPA3,ULTRAPAR,ON ED NM,1.090.134.379,"0,901",17/03/25
Quantidade Teórica Total,98.454.079.581,"100,000",,,17/03/25
Redutor,"16.061.386,34034983",,,,17/03/25
